RegionName,Data,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antioch,Median monthly rental price all homes,0,1645,1639,1682,1795,1881,1925,2046,2160
Berkeley,Median monthly rental price all homes,0,0,0,0,0,0,0,0,0
Fremont,Median monthly rental price all homes,0,2020,2104,2230,2534,2835,2986,3120,3264
Hayward,Median monthly rental price all homes,0,0,0,0,0,0,0,0,0
Milpitas,Median monthly rental price all homes,0,0,0,2479,2749,3071,3176,3226,3355
Oakland,Median monthly rental price all homes,0,0,0,0,2319,2608,2891,2925,2977
Palo Alto,Median monthly rental price all homes,0,0,0,0,5238,5569,5621,5531,5746
Pittsburg,Median monthly rental price all homes,0,1573,1568,1614,1705,1812,1907,2128,2259
San Francisco,Median monthly rental price all homes,3247,3182,3414,3695,4040,4555,4363,4412,4486
San Jose,Median monthly rental price all homes,0,2216,2234,2385,2664,3028,3097,3264,3370
Sunnyvale,Median monthly rental price all homes,0,0,2554,2609,3191,3479,3620,3743,3891
Union City,Median monthly rental price all homes,0,0,0,0,0,0,0,2971,2851
