City,Time_Period,Price_per_sqft,Monthly_rental_price,ForecastYoYPctChange,latitude,longitude,population,popuation_density,violent_crime,violent_crime_rate,property_crime,property_crime_rate
Antioch,2010,109,0,0,0,0,0,0,0,0,0,0
Antioch,2011,102,1645,0,0,0,0,0,0,0,0,0
Antioch,2012,106,1639,0,0,0,0,0,0,0,0,0
Antioch,2013,144,1682,0,0,0,0,0,0,0,0,0
Antioch,2014,165,1795,0,0,0,0,0,0,0,0,0
Antioch,2015,179,1881,0,0,0,0,0,0,0,0,0
Antioch,2016,199,1925,0,0,0,0,0,0,0,0,0
Antioch,2017,223,2046,0,0,0,0,0,0,0,0,0
Antioch,2018,248,2160,12.71635611,38.0049,-121.8058,108223,3820.1,849,7.84,4190,38.72
Berkeley,2010,439,0,0,0,0,0,0,0,0,0,0
Berkeley,2011,399,0,0,0,0,0,0,0,0,0,0
Berkeley,2012,404,0,0,0,0,0,0,0,0,0,0
Berkeley,2013,466,0,0,0,0,0,0,0,0,0,0
Berkeley,2014,502,0,0,0,0,0,0,0,0,0,0
Berkeley,2015,556,0,0,0,0,0,0,0,0,0,0
Berkeley,2016,598,0,0,0,0,0,0,0,0,0,0
Berkeley,2017,651,0,0,0,0,0,0,0,0,0,0
Berkeley,2018,705,0,3.280755367,37.8716,-122.2727,117753,11251,431,3.66,5102,43.33
Fremont,2010,345,0,0,0,0,0,0,0,0,0,0
Fremont,2011,320,2020,0,0,0,0,0,0,0,0,0
Fremont,2012,332,2104,0,0,0,0,0,0,0,0,0
Fremont,2013,396,2230,0,0,0,0,0,0,0,0,0
Fremont,2014,449,2534,0,0,0,0,0,0,0,0,0
Fremont,2015,518,2835,0,0,0,0,0,0,0,0,0
Fremont,2016,556,2986,0,0,0,0,0,0,0,0,0
Fremont,2017,600,3120,0,0,0,0,0,0,0,0,0
Fremont,2018,658,3264,12.31089198,37.5483,-121.9886,227575,2937.8,284,1.25,3910,17.18
Hayward,2010,209,0,0,0,0,0,0,0,0,0,0
Hayward,2011,192,0,0,0,0,0,0,0,0,0,0
Hayward,2012,198,0,0,0,0,0,0,0,0,0,0
Hayward,2013,254,0,0,0,0,0,0,0,0,0,0
Hayward,2014,300,0,0,0,0,0,0,0,0,0,0
Hayward,2015,334,0,0,0,0,0,0,0,0,0,0
Hayward,2016,371,0,0,0,0,0,0,0,0,0,0
Hayward,2017,398,0,0,0,0,0,0,0,0,0,0
Hayward,2018,431,0,16.22786483,37.6688,-122.0808,153319,3375.6,605,3.95,4873,31.78
Milpitas,2010,314,0,0,0,0,0,0,0,0,0,0
Milpitas,2011,307,0,0,0,0,0,0,0,0,0,0
Milpitas,2012,312,0,0,0,0,0,0,0,0,0,0
Milpitas,2013,383,2479,0,0,0,0,0,0,0,0,0
Milpitas,2014,426,2749,0,0,0,0,0,0,0,0,0
Milpitas,2015,477,3071,0,0,0,0,0,0,0,0,0
Milpitas,2016,525,3176,0,0,0,0,0,0,0,0,0
Milpitas,2017,548,3226,0,0,0,0,0,0,0,0,0
Milpitas,2018,631,3355,9.782020445,0,0,0,0,0,0,0,0
Oakland,2010,0,0,0,0,0,0,0,0,0,0,0
Oakland,2011,0,0,0,0,0,0,0,0,0,0,0
Oakland,2012,0,0,0,0,0,0,0,0,0,0,0
Oakland,2013,321,0,0,0,0,0,0,0,0,0,0
Oakland,2014,329,2319,0,0,0,0,0,0,0,0,0
Oakland,2015,369,2608,0,0,0,0,0,0,0,0,0
Oakland,2016,414,2891,0,0,0,0,0,0,0,0,0
Oakland,2017,465,2925,0,0,0,0,0,0,0,0,0
Oakland,2018,493,2977,15.25422689,37.8044,-122.2711,409994,7335.3,6910,16.85,24367,59.43
Palo Alto,2010,0,0,0,0,0,0,0,0,0,0,0
Palo Alto,2011,0,0,0,0,0,0,0,0,0,0,0
Palo Alto,2012,0,0,0,0,0,0,0,0,0,0,0
Palo Alto,2013,0,0,0,0,0,0,0,0,0,0,0
Palo Alto,2014,1069,5238,0,0,0,0,0,0,0,0,0
Palo Alto,2015,1264,5569,0,0,0,0,0,0,0,0,0
Palo Alto,2016,1350,5621,0,0,0,0,0,0,0,0,0
Palo Alto,2017,1417,5531,0,0,0,0,0,0,0,0,0
Palo Alto,2018,1562,5746,7.533931201,37.4419,-122.143,67169,2813.6,59,0.88,1299,19.34
Pittsburg,2010,0,0,0,0,0,0,0,0,0,0,0
Pittsburg,2011,0,1573,0,0,0,0,0,0,0,0,0
Pittsburg,2012,0,1568,0,0,0,0,0,0,0,0,0
Pittsburg,2013,177,1614,0,0,0,0,0,0,0,0,0
Pittsburg,2014,190,1705,0,0,0,0,0,0,0,0,0
Pittsburg,2015,205,1812,0,0,0,0,0,0,0,0,0
Pittsburg,2016,229,1907,0,0,0,0,0,0,0,0,0
Pittsburg,2017,252,2128,0,0,0,0,0,0,0,0,0
Pittsburg,2018,277,2259,3.428407755,38.028,-121.8847,67509,3927.7,175,2.59,2362,34.99
San Francisco,2010,596,3247,0,0,0,0,0,0,0,0,0
San Francisco,2011,560,3182,0,0,0,0,0,0,0,0,0
San Francisco,2012,596,3414,0,0,0,0,0,0,0,0,0
San Francisco,2013,705,3695,0,0,0,0,0,0,0,0,0
San Francisco,2014,771,4040,0,0,0,0,0,0,0,0,0
San Francisco,2015,850,4555,0,0,0,0,0,0,0,0,0
San Francisco,2016,935,4363,0,0,0,0,0,0,0,0,0
San Francisco,2017,995,4412,0,0,0,0,0,0,0,0,0
San Francisco,2018,1049,4486,10.45151444,37.7749,-122.4194,850294,18132.6,6761,7.95,45093,53.03
San Jose,2010,318,0,0,0,0,0,0,0,0,0,0
San Jose,2011,298,2216,0,0,0,0,0,0,0,0,0
San Jose,2012,312,2234,0,0,0,0,0,0,0,0,0
San Jose,2013,383,2385,0,0,0,0,0,0,0,0,0
San Jose,2014,422,2664,0,0,0,0,0,0,0,0,0
San Jose,2015,463,3028,0,0,0,0,0,0,0,0,0
San Jose,2016,506,3097,0,0,0,0,0,0,0,0,0
San Jose,2017,541,3264,0,0,0,0,0,0,0,0,0
San Jose,2018,628,3370,7.48133509,37.3382,-121.8863,1009679,5718.3,3242,3.21,24577,24.34
Sunnyvale,2010,404,0,0,0,0,0,0,0,0,0,0
Sunnyvale,2011,413,0,0,0,0,0,0,0,0,0,0
Sunnyvale,2012,421,2554,0,0,0,0,0,0,0,0,0
Sunnyvale,2013,493,2609,0,0,0,0,0,0,0,0,0
Sunnyvale,2014,559,3191,0,0,0,0,0,0,0,0,0
Sunnyvale,2015,676,3479,0,0,0,0,0,0,0,0,0
Sunnyvale,2016,739,3620,0,0,0,0,0,0,0,0,0
Sunnyvale,2017,801,3743,0,0,0,0,0,0,0,0,0
Sunnyvale,2018,958,3891,9.911488049,37.3688,-122.0363,149384,6795.4,167,1.12,2356,15.77
Union City,2010,256,0,0,0,0,0,0,0,0,0,0
Union City,2011,243,0,0,0,0,0,0,0,0,0,0
Union City,2012,246,0,0,0,0,0,0,0,0,0,0
Union City,2013,305,0,0,0,0,0,0,0,0,0,0
Union City,2014,354,0,0,0,0,0,0,0,0,0,0
Union City,2015,394,0,0,0,0,0,0,0,0,0,0
Union City,2016,423,0,0,0,0,0,0,0,0,0,0
Union City,2017,461,2971,0,0,0,0,0,0,0,0,0
Union City,2018,521,2851,7.10325908,0,0,0,0,0,0,0,0
